n 200, BTC size 200
0.000000, 5.390250e-03
0.000000, 5.397319e-03
0.000000, 5.404422e-03
0.000000, 5.411559e-03
0.000000, 5.418729e-03
0.000000, 5.425932e-03
0.000000, 5.433168e-03
0.000000, 5.440437e-03
0.000000, 5.447738e-03
0.000000, 5.455073e-03
0.000000, 5.462439e-03
0.000000, 5.469838e-03
0.000000, 5.477269e-03
0.000000, 5.484732e-03
0.000000, 5.492226e-03
0.000000, 5.499752e-03
0.000000, 5.507309e-03
0.000000, 5.514897e-03
0.000000, 5.522515e-03
0.000000, 5.530165e-03
0.000000, 5.537845e-03
0.000000, 5.545554e-03
0.000000, 5.553294e-03
0.000000, 5.561064e-03
0.000000, 5.568862e-03
0.000000, 5.576690e-03
0.000000, 5.584547e-03
0.000000, 5.592433e-03
0.000000, 5.600347e-03
0.000000, 5.608289e-03
0.000000, 5.616258e-03
0.000000, 5.624256e-03
0.000000, 5.632280e-03
0.000000, 5.640332e-03
0.000000, 5.648410e-03
0.000000, 5.656514e-03
0.000000, 5.664645e-03
0.000000, 5.672801e-03
0.000000, 5.680983e-03
0.000000, 5.689190e-03
0.000000, 5.697421e-03
0.000000, 5.705677e-03
0.000000, 5.713957e-03
0.000000, 5.722261e-03
0.000000, 5.730588e-03
0.000000, 5.738938e-03
0.000000, 5.747311e-03
0.000000, 5.755706e-03
0.000000, 5.764124e-03
0.000000, 5.772563e-03
0.000000, 5.781023e-03
0.000000, 5.789504e-03
0.000000, 5.798005e-03
0.000000, 5.806526e-03
0.000000, 5.815067e-03
0.000000, 5.823628e-03
0.000000, 5.832207e-03
0.000000, 5.840805e-03
0.000000, 5.849421e-03
0.000000, 5.858055e-03
0.000000, 5.866705e-03
0.000000, 5.875373e-03
0.000000, 5.884057e-03
0.000000, 5.892757e-03
0.000000, 5.901473e-03
0.000000, 5.910204e-03
0.000000, 5.918949e-03
0.000000, 5.927709e-03
0.000000, 5.936483e-03
0.000000, 5.945269e-03
0.000000, 5.954069e-03
0.000000, 5.962882e-03
0.000000, 5.971706e-03
0.000000, 5.980542e-03
0.000000, 5.989389e-03
0.000000, 5.998247e-03
0.000000, 6.007115e-03
0.000000, 6.015993e-03
