n 200, BTC size 200
0.000000, 5.390044e-03
0.000000, 5.397114e-03
0.000000, 5.404218e-03
0.000000, 5.411356e-03
0.000000, 5.418528e-03
0.000000, 5.425733e-03
0.000000, 5.432972e-03
0.000000, 5.440245e-03
0.000000, 5.447550e-03
0.000000, 5.454889e-03
0.000000, 5.462260e-03
0.000000, 5.469664e-03
0.000000, 5.477101e-03
0.000000, 5.484570e-03
0.000000, 5.492071e-03
0.000000, 5.499604e-03
0.000000, 5.507168e-03
0.000000, 5.514764e-03
0.000000, 5.522391e-03
0.000000, 5.530050e-03
0.000000, 5.537739e-03
0.000000, 5.545458e-03
0.000000, 5.553208e-03
0.000000, 5.560988e-03
0.000000, 5.568798e-03
0.000000, 5.576637e-03
0.000000, 5.584506e-03
0.000000, 5.592404e-03
0.000000, 5.600330e-03
0.000000, 5.608285e-03
0.000000, 5.616269e-03
0.000000, 5.624280e-03
0.000000, 5.632318e-03
0.000000, 5.640384e-03
0.000000, 5.648478e-03
0.000000, 5.656597e-03
0.000000, 5.664743e-03
0.000000, 5.672916e-03
0.000000, 5.681114e-03
0.000000, 5.689337e-03
0.000000, 5.697586e-03
0.000000, 5.705859e-03
0.000000, 5.714156e-03
0.000000, 5.722478e-03
0.000000, 5.730823e-03
0.000000, 5.739192e-03
0.000000, 5.747584e-03
0.000000, 5.755998e-03
0.000000, 5.764434e-03
0.000000, 5.772893e-03
0.000000, 5.781372e-03
0.000000, 5.789873e-03
0.000000, 5.798395e-03
0.000000, 5.806937e-03
0.000000, 5.815498e-03
0.000000, 5.824079e-03
0.000000, 5.832680e-03
0.000000, 5.841298e-03
0.000000, 5.849936e-03
0.000000, 5.858591e-03
0.000000, 5.867263e-03
0.000000, 5.875952e-03
0.000000, 5.884658e-03
0.000000, 5.893380e-03
0.000000, 5.902117e-03
0.000000, 5.910870e-03
0.000000, 5.919638e-03
0.000000, 5.928420e-03
0.000000, 5.937215e-03
0.000000, 5.946025e-03
0.000000, 5.954847e-03
0.000000, 5.963681e-03
0.000000, 5.972528e-03
0.000000, 5.981386e-03
0.000000, 5.990255e-03
0.000000, 5.999135e-03
0.000000, 6.008025e-03
0.000000, 6.016925e-03
0.000000, 6.025834e-03
0.000000, 6.034751e-03
0.000000, 6.043677e-03
0.000000, 6.052611e-03
0.000000, 6.061551e-03
0.000000, 6.070499e-03
0.000000, 6.079453e-03
0.000000, 6.088412e-03
0.000000, 6.097377e-03
0.000000, 6.106347e-03
0.000000, 6.115321e-03
0.000000, 6.124299e-03
0.000000, 6.133280e-03
0.000000, 6.142264e-03
0.000000, 6.151250e-03
0.000000, 6.160238e-03
0.000000, 6.169227e-03
0.000000, 6.178218e-03
0.000000, 6.187208e-03
0.000000, 6.196199e-03
0.000000, 6.205188e-03
0.000000, 6.214177e-03
0.000000, 6.223164e-03
0.000000, 6.232148e-03
0.000000, 6.241130e-03
0.000000, 6.250109e-03
0.000000, 6.259085e-03
0.000000, 6.268056e-03
0.000000, 6.277022e-03
0.000000, 6.285983e-03
0.000000, 6.294939e-03
0.000000, 6.303889e-03
0.000000, 6.312831e-03
0.000000, 6.321767e-03
0.000000, 6.330696e-03
0.000000, 6.339616e-03
0.000000, 6.348527e-03
0.000000, 6.357430e-03
0.000000, 6.366323e-03
0.000000, 6.375206e-03
0.000000, 6.384079e-03
0.000000, 6.392941e-03
0.000000, 6.401791e-03
0.000000, 6.410630e-03
0.000000, 6.419456e-03
0.000000, 6.428270e-03
0.000000, 6.437070e-03
0.000000, 6.445856e-03
0.000000, 6.454629e-03
0.000000, 6.463386e-03
0.000000, 6.472129e-03
0.000000, 6.480857e-03
0.000000, 6.489568e-03
0.000000, 6.498263e-03
0.000000, 6.506941e-03
0.000000, 6.515602e-03
0.000000, 6.524246e-03
0.000000, 6.532871e-03
0.000000, 6.541478e-03
0.000000, 6.550066e-03
0.000000, 6.558635e-03
0.000000, 6.567184e-03
0.000000, 6.575713e-03
0.000000, 6.584222e-03
0.000000, 6.592709e-03
0.000000, 6.601176e-03
0.000000, 6.609621e-03
0.000000, 6.618043e-03
0.000000, 6.626444e-03
0.000000, 6.634821e-03
0.000000, 6.643176e-03
0.000000, 6.651507e-03
0.000000, 6.659814e-03
0.000000, 6.668097e-03
0.000000, 6.676356e-03
0.000000, 6.684590e-03
0.000000, 6.692798e-03
0.000000, 6.700981e-03
0.000000, 6.709138e-03
0.000000, 6.717269e-03
0.000000, 6.725374e-03
0.000000, 6.733452e-03
0.000000, 6.741502e-03
0.000000, 6.749526e-03
0.000000, 6.757521e-03
0.000000, 6.765489e-03
0.000000, 6.773428e-03
0.000000, 6.781339e-03
0.000000, 6.789221e-03
0.000000, 6.797074e-03
0.000000, 6.804898e-03
0.000000, 6.812692e-03
0.000000, 6.820456e-03
0.000000, 6.828191e-03
0.000000, 6.835895e-03
0.000000, 6.843568e-03
0.000000, 6.851210e-03
0.000000, 6.858822e-03
0.000000, 6.866402e-03
0.000000, 6.873951e-03
0.000000, 6.881469e-03
0.000000, 6.888954e-03
0.000000, 6.896407e-03
0.000000, 6.903829e-03
0.000000, 6.911217e-03
0.000000, 6.918574e-03
0.000000, 6.925897e-03
0.000000, 6.933187e-03
0.000000, 6.940445e-03
0.000000, 6.947669e-03
0.000000, 6.954860e-03
0.000000, 6.962017e-03
0.000000, 6.969140e-03
0.000000, 6.976230e-03
0.000000, 6.983285e-03
0.000000, 6.990307e-03
0.000000, 6.997294e-03
0.000000, 7.004247e-03
0.000000, 7.011165e-03
0.000000, 7.018049e-03
0.000000, 7.024898e-03
0.000000, 7.031712e-03
