n 200, BTC size 200
0, 0.0112158
1, 0.0112233
2, 0.011231
3, 0.0112386
4, 0.0112463
5, 0.011254
6, 0.0112617
7, 0.0112694
8, 0.0112772
9, 0.011285
10, 0.0112929
11, 0.0113007
12, 0.0113086
13, 0.0113165
14, 0.0113245
15, 0.0113325
16, 0.0113405
17, 0.0113485
18, 0.0113565
19, 0.0113646
20, 0.0113727
21, 0.0113808
22, 0.0113889
23, 0.0113971
24, 0.0114053
25, 0.0114135
26, 0.0114217
27, 0.0114299
28, 0.0114382
29, 0.0114465
30, 0.0114548
31, 0.0114631
32, 0.0114715
33, 0.0114798
34, 0.0114882
35, 0.0114966
36, 0.011505
37, 0.0115134
38, 0.0115219
39, 0.0115303
40, 0.0115388
41, 0.0115473
42, 0.0115558
43, 0.0115643
44, 0.0115729
45, 0.0115814
46, 0.01159
47, 0.0115985
48, 0.0116071
49, 0.0116157
50, 0.0116243
51, 0.0116329
52, 0.0116415
53, 0.0116501
54, 0.0116587
55, 0.0116674
56, 0.011676
57, 0.0116847
58, 0.0116933
59, 0.011702
60, 0.0117106
61, 0.0117193
62, 0.011728
63, 0.0117366
64, 0.0117453
65, 0.011754
66, 0.0117627
67, 0.0117713
68, 0.01178
69, 0.0117887
70, 0.0117974
71, 0.011806
72, 0.0118147
73, 0.0118234
74, 0.011832
75, 0.0118407
76, 0.0118493
77, 0.011858
78, 0.0118666
79, 0.0118752
80, 0.0118839
81, 0.0118925
82, 0.0119011
83, 0.0119097
84, 0.0119183
85, 0.0119268
86, 0.0119354
87, 0.011944
88, 0.0119525
89, 0.011961
90, 0.0119696
91, 0.0119781
92, 0.0119866
93, 0.011995
94, 0.0120035
95, 0.0120119
96, 0.0120204
97, 0.0120288
98, 0.0120372
99, 0.0120456
100, 0.0120539
101, 0.0120623
102, 0.0120706
103, 0.0120789
104, 0.0120872
105, 0.0120954
106, 0.0121036
107, 0.0121119
108, 0.01212
109, 0.0121282
110, 0.0121364
111, 0.0121445
112, 0.0121526
113, 0.0121607
114, 0.0121687
115, 0.0121767
116, 0.0121847
117, 0.0121927
118, 0.0122006
119, 0.0122085
120, 0.0122164
121, 0.0122243
122, 0.0122321
123, 0.0122399
124, 0.0122477
125, 0.0122554
126, 0.0122631
127, 0.0122708
128, 0.0122784
129, 0.012286
130, 0.0122936
131, 0.0123012
132, 0.0123087
133, 0.0123162
134, 0.0123236
135, 0.0123311
136, 0.0123384
137, 0.0123458
138, 0.0123531
139, 0.0123604
140, 0.0123676
141, 0.0123748
142, 0.012382
143, 0.0123891
144, 0.0123963
145, 0.0124033
146, 0.0124103
147, 0.0124173
148, 0.0124243
149, 0.0124312
150, 0.0124381
151, 0.0124449
152, 0.0124517
153, 0.0124585
154, 0.0124652
155, 0.0124719
156, 0.0124786
157, 0.0124852
158, 0.0124918
159, 0.0124983
160, 0.0125048
161, 0.0125113
162, 0.0125177
163, 0.0125241
164, 0.0125304
165, 0.0125367
166, 0.012543
167, 0.0125492
168, 0.0125554
169, 0.0125615
170, 0.0125676
171, 0.0125736
172, 0.0125797
173, 0.0125856
174, 0.0125916
175, 0.0125975
176, 0.0126033
177, 0.0126092
178, 0.0126149
179, 0.0126207
180, 0.0126264
181, 0.012632
182, 0.0126376
183, 0.0126432
184, 0.0126488
185, 0.0126542
186, 0.0126597
187, 0.0126651
188, 0.0126705
189, 0.0126758
190, 0.0126811
191, 0.0126864
192, 0.0126916
193, 0.0126968
194, 0.0127019
195, 0.012707
196, 0.012712
197, 0.0127171
198, 0.012722
199, 0.012727
