n 200, BTC size 200
0, 0.925752
1, 0.925752
2, 0.925752
3, 0.925752
4, 0.925752
5, 0.925752
6, 0.925752
7, 0.925752
8, 0.925752
9, 0.925752
10, 0.925752
11, 0.925752
12, 0.925752
13, 0.925752
14, 0.925752
15, 0.925752
16, 0.925752
17, 0.925752
18, 0.925752
19, 0.925752
20, 0.925752
21, 0.925752
22, 0.925752
23, 0.925752
24, 0.925752
25, 0.925752
26, 0.925752
27, 0.925752
28, 0.925752
29, 0.925752
30, 0.925752
31, 0.925752
32, 0.925752
33, 0.925752
34, 0.925752
35, 0.925752
36, 0.925752
37, 0.925752
38, 0.925752
39, 0.925752
40, 0.925752
41, 0.925752
42, 0.925752
43, 0.925752
44, 0.925752
45, 0.925752
46, 0.925752
47, 0.925752
48, 0.925752
49, 0.925752
50, 0.925752
51, 0.925752
52, 0.925752
53, 0.925752
54, 0.925752
55, 0.925752
56, 0.925752
57, 0.925752
58, 0.925752
59, 0.925752
60, 0.925752
61, 0.925752
62, 0.925752
63, 0.925752
64, 0.925752
65, 0.925752
66, 0.925752
67, 0.925752
68, 0.925752
69, 0.925752
70, 0.925752
71, 0.925752
72, 0.925752
73, 0.925752
74, 0.925752
75, 0.925752
76, 0.925752
77, 0.925752
78, 0.925752
79, 0.925752
80, 0.925752
81, 0.925752
82, 0.925752
83, 0.925752
84, 0.925752
85, 0.925752
86, 0.925752
87, 0.925752
88, 0.925752
89, 0.925752
90, 0.925752
91, 0.925752
92, 0.925752
93, 0.925752
94, 0.925752
95, 0.925752
96, 0.925752
97, 0.925752
98, 0.925752
99, 0.925752
100, 0.925752
101, 0.925752
102, 0.925752
103, 0.925752
104, 0.925752
105, 0.925752
106, 0.925752
107, 0.925752
108, 0.925752
109, 0.925752
110, 0.925752
111, 0.925752
112, 0.925752
113, 0.925752
114, 0.925752
115, 0.925752
116, 0.925752
117, 0.925752
118, 0.925752
119, 0.925752
120, 0.925752
121, 0.925752
122, 0.925752
123, 0.925752
124, 0.925752
125, 0.925752
126, 0.925752
127, 0.925752
128, 0.925752
129, 0.925752
130, 0.925752
131, 0.925752
132, 0.925752
133, 0.925752
134, 0.925752
135, 0.925752
136, 0.925752
137, 0.925752
138, 0.925752
139, 0.925752
140, 0.925752
141, 0.925752
142, 0.925752
143, 0.925752
144, 0.925752
145, 0.925752
146, 0.925752
147, 0.925752
148, 0.925752
149, 0.925752
150, 0.925752
151, 0.925752
152, 0.925752
153, 0.925752
154, 0.925752
155, 0.925752
156, 0.925752
157, 0.925752
158, 0.925752
159, 0.925752
160, 0.925752
161, 0.925752
162, 0.925752
163, 0.925752
164, 0.925752
165, 0.925752
166, 0.925752
167, 0.925752
168, 0.925752
169, 0.925752
170, 0.925752
171, 0.925752
172, 0.925752
173, 0.925752
174, 0.925752
175, 0.925752
176, 0.925752
177, 0.925752
178, 0.925752
179, 0.925752
180, 0.925752
181, 0.925752
182, 0.925752
183, 0.925752
184, 0.925752
185, 0.925752
186, 0.925752
187, 0.925752
188, 0.925752
189, 0.925752
190, 0.925752
191, 0.925752
192, 0.925752
193, 0.925752
194, 0.925752
195, 0.925752
196, 0.925752
197, 0.925752
198, 0.925752
199, 0.925752
