n 200, BTC size 200
0, 0.817574
1, 0.817947
2, 0.818319
3, 0.81869
4, 0.819061
5, 0.819431
6, 0.8198
7, 0.820169
8, 0.820537
9, 0.820904
10, 0.821271
11, 0.821636
12, 0.822001
13, 0.822365
14, 0.822728
15, 0.823091
16, 0.823452
17, 0.823813
18, 0.824173
19, 0.824532
20, 0.82489
21, 0.825247
22, 0.825603
23, 0.825958
24, 0.826312
25, 0.826665
26, 0.827018
27, 0.827369
28, 0.827719
29, 0.828068
30, 0.828416
31, 0.828763
32, 0.829109
33, 0.829454
34, 0.829797
35, 0.83014
36, 0.830481
37, 0.830821
38, 0.83116
39, 0.831498
40, 0.831835
41, 0.83217
42, 0.832505
43, 0.832838
44, 0.83317
45, 0.8335
46, 0.833829
47, 0.834158
48, 0.834484
49, 0.83481
50, 0.835134
51, 0.835457
52, 0.835779
53, 0.836099
54, 0.836418
55, 0.836735
56, 0.837052
57, 0.837367
58, 0.83768
59, 0.837992
60, 0.838303
61, 0.838613
62, 0.838921
63, 0.839227
64, 0.839532
65, 0.839836
66, 0.840139
67, 0.84044
68, 0.840739
69, 0.841037
70, 0.841334
71, 0.841629
72, 0.841923
73, 0.842215
74, 0.842506
75, 0.842796
76, 0.843084
77, 0.84337
78, 0.843655
79, 0.843939
80, 0.844221
81, 0.844501
82, 0.84478
83, 0.845058
84, 0.845334
85, 0.845609
86, 0.845882
87, 0.846154
88, 0.846424
89, 0.846692
90, 0.846959
91, 0.847225
92, 0.847489
93, 0.847752
94, 0.848013
95, 0.848272
96, 0.848531
97, 0.848787
98, 0.849042
99, 0.849296
100, 0.849548
101, 0.849798
102, 0.850047
103, 0.850295
104, 0.850541
105, 0.850785
106, 0.851028
107, 0.85127
108, 0.85151
109, 0.851749
110, 0.851986
111, 0.852221
112, 0.852455
113, 0.852688
114, 0.852919
115, 0.853148
116, 0.853376
117, 0.853603
118, 0.853828
119, 0.854052
120, 0.854274
121, 0.854495
122, 0.854714
123, 0.854932
124, 0.855148
125, 0.855363
126, 0.855577
127, 0.855789
128, 0.855999
129, 0.856208
130, 0.856416
131, 0.856622
132, 0.856827
133, 0.85703
134, 0.857232
135, 0.857433
136, 0.857632
137, 0.85783
138, 0.858026
139, 0.858221
140, 0.858415
141, 0.858607
142, 0.858798
143, 0.858987
144, 0.859175
145, 0.859362
146, 0.859547
147, 0.859731
148, 0.859914
149, 0.860095
150, 0.860275
151, 0.860453
152, 0.860631
153, 0.860807
154, 0.860981
155, 0.861155
156, 0.861327
157, 0.861497
158, 0.861667
159, 0.861835
160, 0.862002
161, 0.862168
162, 0.862332
163, 0.862495
164, 0.862657
165, 0.862818
166, 0.862977
167, 0.863135
168, 0.863292
169, 0.863448
170, 0.863602
171, 0.863755
172, 0.863907
173, 0.864058
174, 0.864208
175, 0.864356
176, 0.864504
177, 0.86465
178, 0.864795
179, 0.864938
180, 0.865081
181, 0.865223
182, 0.865363
183, 0.865502
184, 0.86564
185, 0.865777
186, 0.865913
187, 0.866048
188, 0.866182
189, 0.866314
190, 0.866446
191, 0.866576
192, 0.866706
193, 0.866834
194, 0.866961
195, 0.867087
196, 0.867212
197, 0.867336
198, 0.86746
199, 0.867582
